,Usuario,Texto,Dispositivo,Fecha Creacion,Ubicacion
30,Elena,RT @thecliniccl: [Planeta] Denuncian a tienda de mascotas por maltrato animal y contrabando de especies exóticas en Quilpué: Un ajolote fue…,Twitter for Android,2020-02-23 13:35:59,
31,Ineche,RT @thecliniccl: [Planeta] Denuncian a tienda de mascotas por maltrato animal y contrabando de especies exóticas en Quilpué: Un ajolote fue…,Twitter for Android,2020-02-23 13:35:52,福岡 福岡市 中央区
32,María Luisa Letelier,RT @thecliniccl: [Planeta] Denuncian a tienda de mascotas por maltrato animal y contrabando de especies exóticas en Quilpué: Un ajolote fue…,Twitter for Android,2020-02-23 13:29:39,
33,J A V I E R P A R E D E S M Á U R EL,RT @thecliniccl: [Planeta] Denuncian a tienda de mascotas por maltrato animal y contrabando de especies exóticas en Quilpué: Un ajolote fue…,Twitter for Android,2020-02-23 13:29:20,
34,claudio arrepol,RT @thecliniccl: [Planeta] Denuncian a tienda de mascotas por maltrato animal y contrabando de especies exóticas en Quilpué: Un ajolote fue…,Twitter for iPhone,2020-02-23 13:26:02,"Barros Arana N° 645, piso 7°"
35,Pipe,RT @thecliniccl: [Planeta] Denuncian a tienda de mascotas por maltrato animal y contrabando de especies exóticas en Quilpué: Un ajolote fue…,Twitter for Android,2020-02-23 13:24:53,
36,Pau ~ lita ☆,RT @thecliniccl: [Planeta] Denuncian a tienda de mascotas por maltrato animal y contrabando de especies exóticas en Quilpué: Un ajolote fue…,Twitter for Android,2020-02-23 13:24:01,Narnia
37,Ana María Llantén,RT @thecliniccl: [Planeta] Denuncian a tienda de mascotas por maltrato animal y contrabando de especies exóticas en Quilpué: Un ajolote fue…,Twitter for Android,2020-02-23 13:23:09,
38,SitaToc #YoApruebo,RT @thecliniccl: [Planeta] Denuncian a tienda de mascotas por maltrato animal y contrabando de especies exóticas en Quilpué: Un ajolote fue…,Twitter Web App,2020-02-23 13:20:58,Chile
39,Su Santa Realeza👑,RT @thecliniccl: [Planeta] Denuncian a tienda de mascotas por maltrato animal y contrabando de especies exóticas en Quilpué: Un ajolote fue…,Twitter for Android,2020-02-23 13:20:56,"Santiago, Chile"
40,esebastias,RT @thecliniccl: [Planeta] Denuncian a tienda de mascotas por maltrato animal y contrabando de especies exóticas en Quilpué: Un ajolote fue…,Twitter for Android,2020-02-23 13:20:44,"Solor, San Pedro de Atacama. "
41,The Clinic,[Planeta] Denuncian a tienda de mascotas por maltrato animal y contrabando de especies exóticas en Quilpué: Un ajol… https://t.co/0DFnrcIu2s,Hootsuite Inc.,2020-02-23 13:20:03,Chile
42,Laura Henao,RT @Ondas1470: Jornada de adopción de mascotas se realizará este domingo en Ibagué. Este evento tendrá lugar en el Centro Comercial Acqua q…,Twitter for Android,2020-02-23 12:51:14,"Ibagué, Colombia"
43,Katy laniado,"RT @ivetteodalys: 🥺🥺🥺🥺🥺🥺👇🏽👇🏽👇🏽👇🏽‼️
El “ser humano” hace estas cosas! 
ALTO AL MALTRATO ANIMAL 
No a la compra de mascotas
ADOPTAR ES LA MEJ…",Twitter for iPad,2020-02-23 01:31:00,Boquete
44,Miguel Patch,@ximee_hm Creo que en este caso me exceptuó jaja obviamente lo voy a conservar y estoy muy consiente y en total des… https://t.co/cmVDhBYuyv,Twitter for iPhone,2020-02-23 00:53:43,México
45,Ivette Berrio,"🥺🥺🥺🥺🥺🥺👇🏽👇🏽👇🏽👇🏽‼️
El “ser humano” hace estas cosas! 
ALTO AL MALTRATO ANIMAL 
No a la compra de mascotas
ADOPTAR ES… https://t.co/yZWs9NzryK",Twitter for iPhone,2020-02-22 22:24:59,"Panamá, República de Panamá"
