,Usuario,Texto,Dispositivo,Fecha Creacion,Ubicacion
125,🦋NOEMI🦋,"@sandracula_ Está fatal, y he visto a personas hacer lo mismo a sus hijos cuando se portan mal, a sus mascotas, a l… https://t.co/r90zzdmWcp",Twitter for iPhone,2020-02-17 14:53:45,
126,m☀️nsanday💜,"@elmotorpsico Mirá amo mis mascotas y detesto la violencia de todo tipo hacia los humanos, llamese golpes, maltrato… https://t.co/RmdDmrivtZ",Twitter for Android,2020-02-17 14:41:54,
127,Emma Toro,Primera vez que oígo hablar de ese tal linares y anoche un amigo mencionó a v senior. Las guacamayas no son mascota… https://t.co/9HIVGrJJVm,Twitter Web App,2020-02-17 13:12:39,"ÜT: 10.512768,-66.910637"
128,Kame García,"RT @jonmorpad: @alexisantos4 @jorge_macias_m @GlodeJo07 Jajajaja es increíble que el presidente, de todo lo que declara, necesita que sus m…",Twitter for Android,2020-02-17 12:47:21,
129,Andrea García♣,"Todo mal, violencia, acoso, incitación al suicidio.

Ver estas cosas me entristece demasiado.

Y lo peor es que la… https://t.co/bnGBc2eoF2",Twitter for Android,2020-02-17 03:21:24,"San Cristóbal, Edo. Táchira"
130,Jorge Macías,"RT @jonmorpad: @alexisantos4 @jorge_macias_m @GlodeJo07 Jajajaja es increíble que el presidente, de todo lo que declara, necesita que sus m…",Twitter Web App,2020-02-17 01:22:31,"Guadalajara, Jalisco"
131,Jonathan Moreno,"@alexisantos4 @jorge_macias_m @GlodeJo07 Jajajaja es increíble que el presidente, de todo lo que declara, necesita… https://t.co/8dFDbRoMu5",Twitter for iPhone,2020-02-17 01:21:59,
132,Mónica Sifontes,@PamCerdeira Exacto le tiene miedo a la realidad de mexico y su violencia q el claramente no es capaz de resolver p… https://t.co/MEFb6YFHrb,Twitter Web App,2020-02-17 00:58:37,
133,Sofía Dumat | CLAMOR DE LIBERTAD,"@Sminguillon @Xuxipc Sí, animales que han padecido violencia en la calle y se encuentran en estado de vulnerabilida… https://t.co/HFH4XtDQE9",Twitter for iPhone,2020-02-16 18:07:23,México
134,Edith Velázquez,@rmponti De los niveles de irresponsabilidad con las mascotas este es el peor. (Y ni hablar de los niveles de descu… https://t.co/PlLI9piV5h,Twitter for Android,2020-02-16 17:53:39,"Guanajuato, México"
135,Comendatore,"Querellate por violencia intra familiar y además por daño moral permanente, pide la tuición de tus hijos y mascotas… https://t.co/bawgmNd5iE",Twitter for Android,2020-02-16 11:55:11,
136,Patricia Palafox,"RT @Citlallixochitl: @dipjm VIOLENCIA ES VIOLENCIA VENGA DE QUIEN VENGA, LA RECIBA QUIEN LA RECIBA.Eduquemos a nuestros hijos(as) en respet…",Twitter for Android,2020-02-16 09:56:30,
137,Erika Pineda,"RT @valdemarfloree: @GlodeJo07 No le distraigan a sus mascotas con muertes y violencia , lo importante es que los empresarios le van a paga…",Twitter for Android,2020-02-16 06:54:54,Cd.Mex / Marbella
138,Katiuska,"@dipjm VIOLENCIA ES VIOLENCIA VENGA DE QUIEN VENGA, LA RECIBA QUIEN LA RECIBA.Eduquemos a nuestros hijos(as) en res… https://t.co/8iFnsLcjFV",Twitter for Android,2020-02-15 23:53:38,México
139,Maicol Caballero,Hoy no estamos frente a orgullosas luchadoras y activistas sociales @CitlaHM son #supremacistas #neonazis mejor con… https://t.co/qW68ExSN8n,Twitter for Android,2020-02-15 05:05:30,Donde menos te imagines ... MX
140,burticio,@zuritacarpio @ElJulesOlivar @lorenzocoronar Vaya.. Alguien progre usando la violencia sexual como forma de victori… https://t.co/wQ5RjoeCtn,Twitter for Android,2020-02-14 21:39:07,"León, Gto"
141,Valdemarflores,"@GlodeJo07 No le distraigan a sus mascotas con muertes y violencia , lo importante es que los empresarios le van a… https://t.co/HSXe2AiLwH",Twitter for Android,2020-02-14 17:30:06,
142,Iten Mario Mendoza,"Zacatito pal conejo! #ElReyCacas sabe que con las feministas no le conviene meterse, rápido armó su decálogo contra… https://t.co/uJ2OFjO7no",Twitter for Android,2020-02-14 16:32:08,TGZ
143,Rolo,RT @MascotaGob: ¡No al maltrato animal🚫! Un proyecto de educación que financia la Municipalidad de Peralillo en colaboración con el Program…,Twitter for iPhone,2020-02-14 06:12:20,
